Tabelle: 61241-0002
Producer price index for industrial products: Germany,;;;;
months;;;;
Index of producer prices of industrial products;;;;;;;
Germany;;;;;;;
;;Producer price index for industrial products;Producer price index for industrial products;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
2018;October;92.2;e;0.2;e;3.2;e
2018;November;92.3;e;0.1;e;3.4;e
2018;December;92.0;e;-0.3;e;2.8;e
2019;January;92.3;e;0.3;e;2.6;e
2019;February;92.2;e;-0.1;e;2.6;e
2019;March;92.2;e;-;;2.4;e
2019;April;92.6;e;0.4;e;2.5;e
2019;May;92.5;e;-0.1;e;1.9;e
2019;June;92.2;e;-0.3;e;1.2;e
2019;July;92.2;e;-;;1.0;e
2019;August;91.8;e;-0.4;e;0.3;e
2019;September;91.9;e;0.1;e;-0.1;e
2019;October;91.7;e;-0.2;e;-0.5;e
2019;November;91.7;e;-;;-0.7;e
2019;December;91.8;e;0.1;e;-0.2;e
2020;January;92.5;e;0.8;e;0.2;e
2020;February;92.2;e;-0.3;e;-;
2020;March;91.5;e;-0.8;e;-0.8;e
2020;April;90.8;e;-0.8;e;-1.9;e
2020;May;90.5;e;-0.3;e;-2.2;e
2020;June;90.5;e;-;;-1.8;e
2020;July;90.7;e;0.2;e;-1.6;e
2020;August;90.7;e;-;;-1.2;e
2020;September;91.0;e;0.3;e;-1.0;e
2020;October;91.1;e;0.1;e;-0.7;e
2020;November;91.3;e;0.2;e;-0.4;e
2020;December;92.0;e;0.8;e;0.2;e
2021;January;93.3;e;1.4;e;0.9;e
2021;February;94.1;e;0.9;e;2.1;e
2021;March;95.0;e;1.0;e;3.8;e
2021;April;95.9;e;0.9;e;5.6;e
2021;May;97.0;e;1.1;e;7.2;e
2021;June;98.1;e;1.1;e;8.4;e
2021;July;99.8;e;1.7;e;10.0;e
2021;August;101.0;e;1.2;e;11.4;e
2021;September;102.7;e;1.7;e;12.9;e
2021;October;105.8;e;3.0;e;16.1;e
2021;November;106.8;e;0.9;e;17.0;e
2021;December;110.5;e;3.5;e;20.1;e
2022;January;114.7;e;3.8;e;22.9;e
2022;February;116.3;e;1.4;e;23.6;e
2022;March;121.9;e;4.8;e;28.3;e
2022;April;125.3;e;2.8;e;30.7;e
2022;May;127.2;e;1.5;e;31.1;e
2022;June;128.2;e;0.8;e;30.7;e
2022;July;132.7;e;3.5;e;33.0;e
2022;August;139.9;e;5.4;e;38.5;e
2022;September;142.3;e;1.7;e;38.6;e
2022;October;139.3;e;-2.1;e;31.7;e
2022;November;135.0;e;-3.1;e;26.4;e
2022;December;134.2;e;-0.6;e;21.4;e
2023;January;133.5;e;-0.5;e;16.4;e
2023;February;132.5;e;-0.7;e;13.9;e
2023;March;131.1;e;-1.1;e;7.5;e
2023;April;131.8;e;0.5;e;5.2;e
2023;May;130.4;e;-1.1;e;2.5;e
2023;June;129.8;e;-0.5;e;1.2;e
2023;July;128.9;e;-0.7;e;-2.9;e
2023;August;129.2;e;0.2;e;-7.6;e
2023;September;129.3;e;0.1;e;-9.1;e
2023;October;129.1;e;-0.2;e;-7.3;e
2023;November;128.3;e;-0.6;e;-5.0;e
2023;December;127.3;e;-0.8;e;-5.1;e
2024;January;127.6;e;0.2;e;-4.4;e
2024;February;127.1;e;-0.4;e;-4.1;e
2024;March;127.3;e;0.2;e;-2.9;e
2024;April;127.5;e;0.2;e;-3.3;e
2024;May;127.5;e;-;;-2.2;e
2024;June;127.7;e;0.2;e;-1.6;e
2024;July;127.9;e;0.2;e;-0.8;e
