DATAFLOW,BBK_STD_FREQ,BBK_STD_AREA,BBK_STD_ADJUSTMENT,BBK_DOES_CONCEPT,BBK_DOES_CLASSIFICATION,BBK_DOES_PROCESSING,BBK_PRICEUNIT,BBK_DO_BASIS,BBK_DO_SUFFIX,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,BBK_DECIMALS,BBK_ID,BBK_UNIT,BBK_UNIT_MULT,BBK_TITLE_ENG,BBK_UMR_ENG,WEB_CATEGORY,BBK_COMM_SRC_ENG,BBK_DIFF,BBK_DIFF_Y,OBS_STATUS
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1995-07,76.4,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.3,2.0,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1995-08,75.6,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-1.0,0.4,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1995-09,76.6,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,1.3,0.9,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1995-10,75.0,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-2.1,-3.4,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1995-11,75.6,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.8,-2.7,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1995-12,75.1,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.7,-3.5,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-01,74.1,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-1.3,-1.6,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-02,73.2,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-1.2,-5.8,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-03,74.7,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,2.0,-2.5,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-04,75.4,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.9,-2.1,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-05,76.2,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,1.1,-1.7,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-06,76.3,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.1,-0.4,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1996-07,75.8,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.7,-0.8,
